date_day,date_name,sex_name,geography_name,value_type_name,measures,measures_name,all_persons_aged_16_and_over,total_unemployed_aged_16_and_over,total_in_employment_aged_16_to_64,total_economically_inactive_aged_16_to_64
2010-01-01,Nov 2009-Jan 2010,Total,London,Level,20100,number of people,6347812,369849,3697345,1419712
2010-01-01,Nov 2009-Jan 2010,Total,London,Change on quarter,20100,number of people,22597,-19282,4891,33324
2010-01-01,Nov 2009-Jan 2010,Total,London,Change on year,20100,number of people,95674,49753,-91025,129120
2010-01-01,Nov 2009-Jan 2010,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,8.9,67.4,25.9
2010-01-01,Nov 2009-Jan 2010,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,-0.2,0.5
2010-01-01,Nov 2009-Jan 2010,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,1.3,-2.8,2
2010-02-01,Dec 2009-Feb 2010,Total,London,Level,20100,number of people,6355326,376003,3702267,1416106
2010-02-01,Dec 2009-Feb 2010,Total,London,Change on quarter,20100,number of people,22587,-19230,11244,27543
2010-02-01,Dec 2009-Feb 2010,Total,London,Change on year,20100,number of people,94757,37604,-44692,93115
2010-02-01,Dec 2009-Feb 2010,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.1,67.4,25.8
2010-02-01,Dec 2009-Feb 2010,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,0,0.4
2010-02-01,Dec 2009-Feb 2010,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.9,-1.9,1.3
2010-03-01,Jan 2010-Mar 2010,Total,London,Level,20100,number of people,6362842,381891,3697842,1421118
2010-03-01,Jan 2010-Mar 2010,Total,London,Change on quarter,20100,number of people,22542,-4736,-6365,30624
2010-03-01,Jan 2010-Mar 2010,Total,London,Change on year,20100,number of people,93986,37544,-32021,79201
2010-03-01,Jan 2010-Mar 2010,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.2,67.3,25.9
2010-03-01,Jan 2010-Mar 2010,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,-0.4,0.5
2010-03-01,Jan 2010-Mar 2010,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.9,-1.6,1.1
2010-04-01,Feb 2010-Apr 2010,Total,London,Level,20100,number of people,6370499,388583,3708108,1411116
2010-04-01,Feb 2010-Apr 2010,Total,London,Change on quarter,20100,number of people,22687,18734,10763,-8596
2010-04-01,Feb 2010-Apr 2010,Total,London,Change on year,20100,number of people,93157,36544,-1718,49109
2010-04-01,Feb 2010-Apr 2010,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.3,67.4,25.6
2010-04-01,Feb 2010-Apr 2010,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.4,-0.1,-0.3
2010-04-01,Feb 2010-Apr 2010,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.8,-1.1,0.5
2010-05-01,Mar 2010-May 2010,Total,London,Level,20100,number of people,6378047,400350,3725646,1388415
2010-05-01,Mar 2010-May 2010,Total,London,Change on quarter,20100,number of people,22721,24347,23379,-27691
2010-05-01,Mar 2010-May 2010,Total,London,Change on year,20100,number of people,92207,35142,36193,12164
2010-05-01,Mar 2010-May 2010,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,9.5,67.6,25.2
2010-05-01,Mar 2010-May 2010,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.5,0.2,-0.6
2010-05-01,Mar 2010-May 2010,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.7,-0.4,-0.2
